CrashFactId,Name,MinorInjuries,ModerateInjuries,SevereInjuries,FatalInjuries,TcrNumber,CityDamageFlag,ShortFormFlag,Distance,CrashDateTime,PedestrianAction,RoadwaySurface,RoadwayCondition,Lighting,PrimaryCollisionFactor,TrafficControl,Weather,CollisionType,ProximityToIntersection,VehicleInvolvedWith,PedestrianDirectionFrom,PedestrianDirectionTo,DirectionFromIntersection,Comment,SpeedingFlag,HitAndRunFlag,IntersectionNumber,AStreetName,BStreetName,Latitude,Longitude
682362,CR-0000091925,0,0,0,0,22-112-4003,False,True,,4/19/2022 8:00:00 AM,No Pedestrians Involved,Unknown,Unknown,Daylight,Violation Driver 1,Unknown,Unknown,Sideswipe,Related,Parked Vehicle,Not Applicable,Not Applicable,South Of,,False,True,112518,TWELFTH ST,VESTAL ST,37.35777479,-121.8910765
689782,CR-0000095808,0,1,0,0,22-101-0761,False,False,0.0,4/11/2022 7:56:00 PM,No Pedestrians Involved,Dry,No Unusual Conditions,Dark - Street Light,Violation Driver 1,Controls Functioning,Clear,Broadside,Intersection,Other Vehicle,Not Applicable,Not Applicable,At,,False,True,55780,ELEVENTH ST,MISSION ST,37.35626226,-121.8912106
690645,CR-0000096767,0,0,0,0,23-007-0852,False,False,78.0,1/7/2023 11:31:00 PM,No Pedestrians Involved,Wet,No Unusual Conditions,Dark - Street Light,Violation Driver 1,Controls Functioning,Rain,Rear End,Non-Related,Other Vehicle,Not Applicable,Not Applicable,East Of,,True,True,63030,FOURTH ST,TAYLOR ST,37.35059121,-121.897038
683358,CR-0000092947,0,0,0,0,22-144-0951,False,False,403.0,5/24/2022 6:00:00 PM,No Pedestrians Involved,Dry,No Unusual Conditions,Dusk - Dawn,Violation Driver 1,No Controls Present/Factor,Clear,Sideswipe,Non-Related,Parked Vehicle,Not Applicable,Not Applicable,East Of,,True,True,55043,EL CAJON DR,SEBASIAN WY,37.28254053,-121.8272208
682509,CR-0000092076,0,0,0,0,22-093-0656,False,False,71.0,4/3/2022 5:30:00 PM,No Pedestrians Involved,Dry,No Unusual Conditions,Daylight,Violation Driver 1,No Controls Present/Factor,Clear,Sideswipe,Non-Related,Other Vehicle,Not Applicable,Not Applicable,East Of,,False,True,55043,EL CAJON DR,SEBASIAN WY,37.28254053,-121.8272208
699444,CR-0000100786,0,0,0,0,23-204-0536,False,False,0.0,7/23/2023 2:20:00 PM,No Pedestrians Involved,Dry,No Unusual Conditions,Daylight,Violation Driver 1,No Controls Present/Factor,Clear,Broadside,Intersection,Parked Vehicle,Not Applicable,Not Applicable,At,,True,True,52018,DOTTIELYN AV,SKALL DR,37.28461945,-121.8262498
689977,CR-0000096014,1,0,0,0,22-224-0362,False,False,0.0,8/12/2022 11:46:00 AM,No Pedestrians Involved,Dry,No Unusual Conditions,Daylight,Violation Driver 1,No Controls Present/Factor,Clear,Rear End,Intersection,Other Vehicle,Not Applicable,Not Applicable,At,,True,True,71785,HELLYER AV,LO BUE WY,37.28436446,-121.8190252
683272,CR-0000092825,0,0,0,0,22-052-9708,False,True,51.0,2/6/2022 6:30:00 PM,No Pedestrians Involved,Dry,No Unusual Conditions,Daylight,Unknown,Controls Functioning,Clear,Sideswipe,Non-Related,Other Vehicle,Not Applicable,Not Applicable,East Of,,False,True,89957,MCLAUGHLIN AV,STORY RD,37.33273611,-121.8536385
685215,CR-0000093894,0,0,0,0,22-262-9701,False,True,0.0,9/18/2022 7:45:00 PM,No Pedestrians Involved,Wet,No Unusual Conditions,Dark - Street Light,Violation Driver 1,Controls Functioning,Rain,Rear End,Intersection,Other Vehicle,Not Applicable,Not Applicable,At,,False,True,89957,MCLAUGHLIN AV,STORY RD,37.33273611,-121.8536385
690282,CR-0000096374,0,0,0,0,22-311-0018,False,False,20.0,11/1/2022 12:09:00 AM,No Pedestrians Involved,Wet,No Unusual Conditions,Dark - Street Light,Violation Driver 1,Controls Functioning,Rain,Rear End,Related,Other Vehicle,Not Applicable,Not Applicable,East Of,,True,True,89957,MCLAUGHLIN AV,STORY RD,37.33273611,-121.8536385
