"CrashFactId","Name","MinorInjuries","ModerateInjuries","SevereInjuries","FatalInjuries","TcrNumber","CityDamageFlag","ShortFormFlag","Distance","CrashDateTime","PedestrianAction","RoadwaySurface","RoadwayCondition","Lighting","PrimaryCollisionFactor","TrafficControl","Weather","CollisionType","ProximityToIntersection","VehicleInvolvedWith","PedestrianDirectionFrom","PedestrianDirectionTo","DirectionFromIntersection","Comment","SpeedingFlag","HitAndRunFlag","IntersectionNumber","AStreetName","BStreetName","Latitude","Longitude"
"699147","CR-0000100464","0","0","0","0","23-156-0821","False","False","120.0","6/5/2023 6:46:00 PM","No Pedestrians Involved","Dry","No Unusual Conditions","Daylight","Violation Driver 1","No Controls Present/Factor","Clear","Broadside","Non-Related","Parked Vehicle","Not Applicable","Not Applicable","East Of","","False","True","82389","LAUSETT AV","SUNSET AV","37.35384309","-121.8476806"
"695955","CR-0000099088","0","0","0","0","23-225-0956","True","False","140.0","8/13/2023 11:59:00 PM","No Pedestrians Involved","Dry","No Unusual Conditions","Dark - Street Light","Violation Driver 1","Controls Functioning","Clear","Hit Object","Non-Related","Fixed Object","Not Applicable","Not Applicable","West Of","","True","True","6038","ALUM ROCK AV","JOSE FIGUERES AV","37.35693676","-121.8468194"
"690702","CR-0000096839","0","1","0","0","23-022-0138","False","False","177.0","1/22/2023 2:02:00 AM","No Pedestrians Involved","Dry","No Unusual Conditions","Dark - Street Light","Violation Driver 1","No Controls Present/Factor","Clear","Rear End","Non-Related","Other Vehicle","Not Applicable","Not Applicable","South Of","","True","True","6027","ALUM ROCK AV","JACKSON AV","37.35851529","-121.843495"
"691166","CR-0000097368","0","0","0","0","23-036-0159","False","False","23.0","2/5/2023 4:05:00 AM","No Pedestrians Involved","Wet","No Unusual Conditions","Dark - Street Light","Violation Driver 1","Controls Functioning","Clear","Hit Object","Related","Fixed Object","Not Applicable","Not Applicable","West Of","","True","True","6027","ALUM ROCK AV","JACKSON AV","37.35851529","-121.843495"
"691348","CR-0000097596","0","1","0","0","23-089-0847","False","False","0.0","3/30/2023 7:49:00 PM","No Pedestrians Involved","Dry","No Unusual Conditions","Daylight","Violation Driver 1","Controls Functioning","Clear","Vehicle/Pedestrian","Intersection","Pedestrian","Not Applicable","Not Applicable","At","PED","False","True","75998","JACKSON AV","LUZ AV","37.3595793","-121.8446042"
"696547","CR-0000099743","1","0","0","0","23-350-0678","False","False","51.0","12/16/2023 6:00:00 PM","No Pedestrians Involved","Dry","No Unusual Conditions","Dark - Street Light","Violation Driver 1","Controls Functioning","Cloudy","Sideswipe","Non-Related","Other Vehicle","Not Applicable","Not Applicable","South Of","","False","True","52360","DOYLE RD/SAN TOMAS AQUINO RD","SARATOGA AV","37.30284709","-121.9800529"
"692579","CR-0000097870","0","0","0","0","23-043-0710","False","False","130.0","2/12/2023 9:18:00 PM","No Pedestrians Involved","Dry","No Unusual Conditions","Dark - Street Light","Violation Driver 1","No Controls Present/Factor","Clear","Sideswipe","Non-Related","Parked Vehicle","Not Applicable","Not Applicable","West Of","","True","True","26927","BUENA VISTA AV","SCOTT ST","37.31965762","-121.9190115"
"695837","CR-0000098902","0","0","0","0","23-091-0288","True","False","0.0","4/1/2023 10:32:00 AM","No Pedestrians Involved","Dry","No Unusual Conditions","Daylight","Violation Driver 1","No Controls Present/Factor","Clear","Hit Object","Intersection","Fixed Object","Not Applicable","Not Applicable","At","SIGN","True","True","110384","ST JAMES ST","TWENTY FIFTH ST","37.35008308","-121.8694059"
"694056","CR-0000098035","1","0","0","0","23-108-0625","False","False","152.0","4/18/2023 4:37:00 PM","No Pedestrians Involved","Dry","No Unusual Conditions","Daylight","Violation Driver 1","No Controls Present/Factor","Clear","Rear End","Non-Related","Other Vehicle","Not Applicable","Not Applicable","North Of","","False","True","79386","KING RD","LAS PLUMAS AV","37.36248591","-121.8651495"
"690696","CR-0000096831","0","0","1","0","23-028-0145","False","False","0.0","1/28/2023 2:58:00 AM","No Pedestrians Involved","Dry","No Unusual Conditions","Dark - Street Light","Violation Driver 1","Controls Functioning","Clear","Broadside","Intersection","Other Vehicle","Not Applicable","Not Applicable","At","","False","True","79386","KING RD","LAS PLUMAS AV","37.36248591","-121.8651495"
"696555","CR-0000099752","0","1","0","0","23-341-0491","False","False","150.0","12/7/2023 12:45:00 PM","No Pedestrians Involved","Dry","No Unusual Conditions","Daylight","Violation Driver 1","Unknown","Clear","Vehicle/Bike","Non-Related","Bike","Not Applicable","Not Applicable","West Of","BIKE","False","True","104389","ROBERTS AV","STORY RD","37.32880286","-121.859436"
