Latitude,Longitude,typeofdata
37.2861823,-121.81877,police
37.32245229999999,-121.825999,police
37.2744479,-121.8689744,police
37.3203724,-121.8289935,police
37.3779153,-121.8670779,police
37.2507955,-121.7978939,police
37.20862049999999,-121.8318841,police
37.4019917,-121.8270563,police
37.3084226,-121.9737162,police
37.3379929,-121.8673118,police
37.3320649,-121.873202,police
37.3089427,-121.9496663,police
37.3700908,-121.8428454,police
37.3203586,-121.9485208,police
37.3408001,-121.9229831,police
37.2558291,-121.7996728,police
37.3398236,-121.8431484,police
37.3146396,-121.8720604,police
37.2769931,-121.8420742,police
37.3538565,-121.8393979,police
37.3230965,-121.9882737,police
37.3528413,-121.8679958,police
37.3326676,-121.8384913,police
37.3411982,-121.8800121,police
37.3300649,-121.9246651,police
37.3113628,-121.8064751,police
37.3153886,-121.8020099,police
37.2621331,-121.8796975,police
37.2750289,-121.8399732,police
37.3000491,-121.8664524,police
37.2621331,-121.8796975,police
37.3395339,-121.8950846,police
37.3288829,-121.8712977,police
37.2968445,-121.9544686,police
37.2964032,-121.8981641,police
37.2678837,-121.904653,police
37.2699104,-121.8388989,police
37.3361477,-121.899827,police
37.2844771,-121.8249817,police
37.2590495,-121.8043224,police
37.3302502,-121.9468866,police
37.3763865,-121.8446294,police
